,book title,ratings,avg_score,author,score,votes
776,"Dreamfever (Fever, #4)","98,918",4.38,Karen Marie Moning,"559,",8
777,"Daughter of the Forest  (Sevenwaters, #1)","61,604",4.28,Juliet Marillier,"558,",7
778,"Yours to Keep (Kowalski Family, #3)","13,846",4.06,Shannon Stacey,"557,",8
779,"Lord of the Abyss (Royal House of Shadows, #4)","7,923",4.11,Nalini Singh,"557,",8
780,"Redeeming Zorus (Cyborg Seduction, #6)","7,131",4.22,Laurann Dohner,"556,",8
781,"The Chief (Highland Guard, #1)","15,612",4.06,Monica McCarty,"555,",9
782,The Protector,524,4.23,Carla Capshaw,"555,",7
783,"Unraveled (Turner, #3)","6,793",4.05,Courtney Milan,"553,",8
784,"Truth or Beard (Winston Brothers, #1)","48,419",3.90,Penny Reid,"553,",7
785,Grand Passion,"3,553",3.91,Jayne Ann Krentz,"550,",9
786,Geek Girl,"5,237",3.94,Cindy C. Bennett,"549,",7
787,"Rilla of Ingleside (Anne of Green Gables, #8)","46,874",4.22,L.M. Montgomery,"549,",7
788,"Lord of the Fading Lands (Tairen Soul, #1)","21,199",3.99,C.L. Wilson,"549,",7
789,The Far Pavilions,"43,122",4.20,M.M. Kaye,"549,",7
790,"Unscrupulous (The Manhattanites, #1)","1,882",3.70,Avery Aster,"549,",7
791,Tuck Everlasting,"260,528",3.89,Natalie Babbitt,"547,",8
792,Howards End,"85,663",3.96,E.M. Forster,"547,",8
793,"Run to Me (Last Chance Rescue, #3)","2,766",4.20,Christy Reece,"546,",7
794,"Allegiant (Divergent, #3)","984,071",3.61,Veronica Roth,"546,",6
795,"Abandon (Abandon, #1)","39,200",3.68,Meg Cabot,"544,",8
796,"Onyx (Lux, #2)","173,936",4.25,Jennifer L. Armentrout,"544,",7
797,"Ral's Woman (Zorn Warriors, #1)","13,493",3.81,Laurann Dohner,"543,",8
798,Heartless,"162,717",4.09,Marissa Meyer,"543,",7
799,"The Upside of Unrequited (Simonverse, #2)","72,518",3.91,Becky Albertalli,"543,",6
800,"Wildest Dreams (Fantasyland, #1)","31,921",4.07,Kristen Ashley,"542,",7
801,The Distance Between Us (Old Town Shops #1),"75,502",3.92,Kasie West,"542,",7
802,"Consequences (Consequences, #1)","41,011",3.92,Aleatha Romig,"541,",6
803,"Point of Retreat (Slammed, #2)","179,090",4.22,Colleen Hoover,"541,",8
804,"City of Heavenly Fire (The Mortal Instruments, #6)","357,807",4.40,Cassandra Clare,"541,",8
805,"Dangerous Games (Tempting SEALs, #2)","8,845",4.17,Lora Leigh,"538,",7
806,"Remember When (Foster Saga, #1)","12,715",3.96,Judith McNaught,"537,",7
807,"The Future of Our Past (The Remembrance Trilogy, #1)","5,362",3.96,Kahlen Aymes,"536,",6
808,"A Kiss at Midnight (Fairy Tales, #1)","19,437",3.80,Eloisa James,"535,",8
809,"Dom Wars: Round One (Dom Wars, #1)","2,982",3.72,Lucian Bane,"534,",6
810,"Keeping Promise Rock (Promises, #1)","5,616",4.15,Amy Lane,"531,",6
811,"Twisted Perfection (Rosemary Beach, #5; Perfection, #1)","66,358",4.23,Abbi Glines,"531,",8
812,"Living Dead in Dallas (Sookie Stackhouse, #2)","245,915",3.96,Charlaine Harris,"531,",8
813,"Long Hard Ride (Rough Riders, #1)","20,094",3.94,Lorelei James,"530,",9
814,Sweet Revenge,avg,really,Nora Roberts,"530,",9
815,Hot Head (Head #1),"17,982",3.97,Damon Suede,"530,",6
816,"Rock with Me (With Me in Seattle, #4)","34,122",4.29,Kristen Proby,"527,",8
817,"Play of Passion (Psy-Changeling, #9)","27,975",4.24,Nalini Singh,"526,",9
818,"Never Judge a Lady by Her Cover (The Rules of Scoundrels, #4)","19,791",3.96,Sarah MacLean,"522,",7
819,"Shadow Kiss (Vampire Academy, #3)","353,587",4.34,Richelle Mead,"520,",6
820,Back To You,99,3.34,Annie Brewer,"519,",6
821,"You Slay Me (Aisling Grey, #1)","22,174",3.99,Katie MacAlister,"518,",6
822,The Statistical Probability of Love at First Sight,"113,622",3.77,Jennifer E. Smith,"518,",6
823,"Shadow and Bone (The Shadow and Bone Trilogy, #1)","825,034",3.95,Leigh Bardugo,"518,",7
824,"Moving Neutral (Moving Neutral, #1)","3,264",3.70,Katy Atlas,"516,",7
825,"The Best Man (Blue Heron, #1)","27,558",3.93,Kristan Higgins,"515,",8
826,"Fire (Graceling Realm, #2)","178,446",4.10,Kristin Cashore,"515,",7
827,One Day in December,"266,197",3.88,Josie Silver,"514,",6
828,"Ruin (Ruin, #1)","40,261",4.16,Rachel Van Dyken,"513,",9
829,"Good For You (Between the Lines, #3)","14,793",4.03,Tammara Webber,"512,",6
830,"Caressed by Ice (Psy-Changeling, #3)","38,325",4.29,Nalini Singh,"512,",7
831,"Born at Midnight (Shadow Falls, #1)","89,358",4.11,C.C. Hunter,"511,",8
832,"Geekerella (Once Upon a Con, #1)","60,325",3.92,Ashley Poston,"510,",7
833,"A Rake's Vow (Cynster, #2)","11,738",4.01,Stephanie Laurens,"508,",9
834,"Caraval (Caraval, #1)",avg,really,Stephanie Garber,"507,",6
835,Sylvester,"16,152",4.13,Georgette Heyer,"506,",7
836,"The Duchess Deal (Girl Meets Duke, #1)",avg,really,Tessa Dare,"506,",6
837,"One Night with a Hero (The Hero, #2)","11,338",4.02,Laura Kaye,"503,",6
838,The Rescue,"194,013",4.12,Nicholas Sparks,"503,",6
839,"It's Not Summer Without You (Summer, #2)","312,549",3.87,Jenny Han,"503,",6
840,"Noughts & Crosses (Noughts & Crosses, #1)","67,597",4.20,Malorie Blackman,"502,",6
841,"The Return of Rafe MacKade (The MacKade Brothers, #1)","14,098",4.09,Nora Roberts,"502,",10
842,"Love Comes Softly (Love Comes Softly, #1)","40,619",4.25,Janette Oke,"501,",6
843,Gentle Warrior,"16,291",4.06,Julie Garwood,"501,",8
844,Loving David,192,3.78,Gina Hummer,"500,",5
845,Intermix Nation,200,4.13,M.P. Attardo,"500,",5
846,"Temptation (Temptation, #1)","1,742",3.77,Karen Ann Hopkins,"500,",5
847,An Ordinary Joe,42,3.62,Andy   Scott,"500,",5
848,The Last Letter from Your Lover,"112,860",3.99,Jojo Moyes,"499,",6
849,"Tears of Tess (Monsters in the Dark, #1)","37,292",4.01,Pepper Winters,"499,",7
850,"The Law of Moses (The Law of Moses, #1)","33,270",4.34,Amy Harmon,"499,",6
851,"Linger (The Wolves of Mercy Falls, #2)","165,190",3.89,Maggie Stiefvater,"498,",6
852,"Siege and Storm (The Shadow and Bone Trilogy, #2)","516,245",3.84,Leigh Bardugo,"498,",6
853,"Everything, Everything",avg,really,Nicola Yoon,"498,",6
854,"High Country Bride (McKettricks, #1)","5,210",4.16,Linda Lael Miller,"497,",6
855,"Return to Me (Last Chance Rescue, #2)","3,758",4.16,Christy Reece,"496,",6
856,"Frostbite (Vampire Academy, #2)","341,553",4.26,Richelle Mead,"496,",7
857,The Count of Monte Cristo,"858,945",4.28,Alexandre Dumas,"495,",7
858,"The Tied Man (The Tied Man, #1)","4,907",4.05,Tabitha McGowan,"495,",5
859,The Tudor Heresy (Mercenary For Hire #0.5),252,3.87,Samantha Burnell,"495,",5
860,Mistress,"9,019",3.95,Amanda Quick,"493,",8
861,"Always Been Mine (The Moreno Brothers, #2)","10,843",4.03,Elizabeth Reyes,"492,",6
862,"Kiss of a Demon King (Immortals After Dark, #6)","42,736",4.32,Kresley Cole,"491,",10
863,The Pact,"295,616",4.02,Jodi Picoult,"491,",6
864,The Fill-In Boyfriend,"62,519",3.90,Kasie West,"491,",7
865,"Tangle of Need (Psy-Changeling, #11)","22,231",4.08,Nalini Singh,"489,",7
866,"Waterfall (River of Time, #1)","21,353",4.02,Lisa Tawn Bergren,"489,",6
867,"Undressed (The Manhattanites, #2)","2,283",3.63,Avery Aster,"488,",5
868,"Winter (The Lunar Chronicles, #4)","253,246",4.43,Marissa Meyer,"488,",6
869,"The Princess Diaries (The Princess Diaries, #1)","248,277",3.80,Meg Cabot,"488,",7
870,"Captivated by You (Crossfire, #4)","107,906",4.12,Sylvia Day,"487,",7
871,"The Highlander's Touch (Highlander, #3)","32,050",4.13,Karen Marie Moning,"486,",8
872,"Eclipse (The Twilight Saga, #3)","1,682,932",3.72,Stephenie Meyer,"486,",7
873,The Secret Keeper,"152,412",4.15,Kate Morton,"485,",6
874,"Safe with Me (With Me in Seattle, #5)","26,543",4.36,Kristen Proby,"485,",8
875,"White Trash Beautiful (White Trash Trilogy, #1)","12,975",3.81,Teresa Mummert,"482,",7
876,"Rhapsody in Paris (LaCasse, #4)",81,4.80,Ju Ephraime,"482,",5
877,"This Is What Happy Looks Like (This is What Happy Looks Like, #1)","50,070",3.67,Jennifer E. Smith,"482,",6
878,"Deeper Than Midnight (Midnight Breed, #9)","20,927",4.29,Lara Adrian,"481,",8
879,Where the Heart Is,"245,031",4.03,Billie Letts,"481,",6
880,Moondance in Red (Moondance Trilogy #1),111,4.25,Salem Archer,"481,",5
881,"Bad Things (Tristan & Danika, #1)","32,015",4.28,R.K. Lilley,"480,",7
882,All the Bright Places,"500,455",4.14,Jennifer Niven,"480,",6
883,"Fixed on You (Fixed, #1)","55,832",4.13,Laurelin Paige,"479,",7
884,"Fall From Grace (Mad World, #1)","23,586",3.99,Christine Zolendz,"478,",7
885,"Fantastical (Fantasyland, #3)","20,408",4.26,Kristen Ashley,"478,",7
886,Josh and Hazel's Guide to Not Dating,"129,936",3.99,Christina Lauren,"478,",7
887,"When Harry Met Molly (Impossible Bachelors, #1)","2,971",3.71,Kieran Kramer,"476,",8
888,The Sugar Queen,"52,984",3.98,Sarah Addison Allen,"476,",6
889,"Fifty Shades Freed (Fifty Shades, #3)","809,937",3.84,E.L. James,"476,",6
890,"Heart of Obsidian  (Psy-Changeling, #12)","25,585",4.46,Nalini Singh,"474,",7
891,"True Believer (Jeremy Marsh & Lexie Darnell, #1)","85,509",3.81,Nicholas Sparks,"473,",6
892,"A Lost Kitten (Sea-anan Saga, #1)",126,4.10,Jessica A.  Kong,"473,",5
893,Double Standards,"11,946",3.93,Judith McNaught,"472,",6
894,"The Darkest Kiss (Lords of the Underworld, #2)","54,259",4.24,Gena Showalter,"472,",8
895,"Too Much Temptation (Brava Brothers, #1)","6,871",4.01,Lori Foster,"469,",7
896,The Ruby Brooch (Celtic Brooch #1),"5,268",4.07,Katherine Lowry Logan,"468,",5
897,"Drums of Autumn (Outlander, #4)","236,174",4.35,Diana Gabaldon,"468,",6
898,"Carnal Gift (Blakewell/Kenleigh Family Trilogy, #2)","1,838",3.96,Pamela Clare,"467,",5
899,"Dragonfly in Amber (Outlander, #2)","333,636",4.33,Diana Gabaldon,"463,",6
900,"A Court of Frost and Starlight (A Court of Thorns and Roses, #3.1)","532,317",3.81,Sarah J. Maas,"461,",7
901,Stuck-Up Suit,"66,991",4.10,Vi Keeland,"460,",7
902,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",avg,really,Laini Taylor,"459,",7
903,"Rock Chick Redemption (Rock Chick, #3)","34,997",4.41,Kristen Ashley,"458,",8
904,The Unknown Ajax,"9,720",4.12,Georgette Heyer,"457,",6
905,"Beard Science (Winston Brothers, #3)","32,534",4.41,Penny Reid,"456,",6
906,"Destined (Destined, #1)","2,518",3.71,Jessie Harrell,"455,",6
907,"Midnight Rising (Midnight Breed, #4)","33,832",4.21,Lara Adrian,"454,",9
908,"These Broken Stars (Starbound, #1)","68,097",3.90,Amie Kaufman,"454,",6
909,"Key of Valor (Key Trilogy, #3)","36,569",4.14,Nora Roberts,"454,",7
910,"Grave Mercy (His Fair Assassin, #1)","103,824",3.89,Robin LaFevers,"454,",7
911,"What the Heart Wants (Soulmate, #1)","2,682",3.77,Kelli McCracken,"453,",5
912,Middlemarch,avg,really,George Eliot,"452,",5
913,"The Gentleman's Guide to Vice and Virtue (Montague Siblings, #1)","128,011",4.05,Mackenzi Lee,"452,",6
914,"Blood Promise (Vampire Academy, #4)","302,040",4.31,Richelle Mead,"451,",6
915,"Start Me Up (Tumble Creek, #2)","7,785",3.89,Victoria Dahl,"450,",7
916,"Queen of Babble (Queen of Babble, #1)","67,484",3.70,Meg Cabot,"449,",6
917,"Just One Day (Just One Day, #1)","83,545",3.99,Gayle Forman,"449,",7
918,"One Good Earl Deserves a Lover (The Rules of Scoundrels, #2)","30,050",4.03,Sarah MacLean,"447,",7
919,"Burning Up Flint (Cyborg Seduction, #1)","9,916",3.75,Laurann Dohner,"446,",7
920,The Windflower,"2,141",4.04,Laura London,"446,",5
921,Homeport,"15,592",3.94,Nora Roberts,"445,",9
922,Letters to a Secret Lover,"1,940",3.88,Toni Blake,"444,",6
923,The Search,"56,151",4.16,Nora Roberts,"444,",6
924,"The Valley of Horses (Earth's Children, #2)","85,066",4.02,Jean M. Auel,"443,",6
925,Just To Be With You (Seattle Sullivans #4; The Sullivans #12),"6,698",4.29,Bella Andre,"442,",5
926,"The Heiress Effect (Brothers Sinister, #2)","14,553",3.91,Courtney Milan,"442,",6
927,"White Hot Kiss (The Dark Elements, #1)","74,116",4.20,Jennifer L. Armentrout,"441,",7
928,"Will Grayson, Will Grayson","383,890",3.72,John Green,"440,",5
929,"Shades of Midnight (Midnight Breed, #7)","26,252",4.28,Lara Adrian,"437,",7
930,"The Pride of Lions (Highlands, #1)","4,329",3.86,Marsha Canham,"437,",6
931,"Until You (Westmoreland, #3)","21,404",4.12,Judith McNaught,"435,",6
932,"Devoured (Devoured, #1)","36,425",3.93,Emily Snow,"435,",7
933,The Unbearable Lightness of Being,"420,847",4.11,Milan Kundera,"432,",6
934,"Walking Disaster (Beautiful, #2)","186,958",4.17,Jamie McGuire,"431,",6
935,"The Heart of Devin MacKade (The MacKade Brothers, #3)","11,272",4.17,Nora Roberts,"430,",7
936,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)","784,558",4.45,Sarah J. Maas,"430,",6
937,"It Ain't Me, Babe (Hades Hangmen, #1)","46,451",4.08,Tillie Cole,"428,",5
938,"The Duchess War (Brothers Sinister, #1)","26,501",3.82,Courtney Milan,"425,",5
939,"Dreams of Gods & Monsters (Daughter of Smoke & Bone, #3)","103,378",4.13,Laini Taylor,"423,",5
940,"The Monster (Boston Belles, #3)","22,600",4.03,L.J. Shen,"422,",11
941,Midnight Sun [2008 Draft],"148,488",4.01,Stephenie Meyer,"422,",5
942,Breakfast at Tiffany's and Three Stories,"247,353",3.86,Truman Capote,"421,",5
943,Grayson's Vow,"21,270",4.15,Mia Sheridan,"420,",7
944,"I Thee Wed (Vanza, #2)","5,702",3.88,Amanda Quick,"418,",7
945,A Farewell to Arms,"301,482",3.81,Ernest Hemingway,"417,",5
946,Daisy's Back in Town,"7,960",3.74,Rachel Gibson,"415,",7
947,"The Bride and the Beast (Once Upon a Time, #2)","6,127",3.77,Teresa Medeiros,"414,",8
948,"Dare You To (Pushing the Limits, #2)","41,284",4.15,Katie McGarry,"414,",6
949,"Evermore (The Immortals, #1)","283,647",3.59,Alyson Noel,"412,",5
950,"Dark Melody (Dark, #10)","16,922",4.24,Christine Feehan,"410,",7
951,"The Kiss of Deception (The Remnant Chronicles, #1)","121,506",3.96,Mary E. Pearson,"410,",5
952,"Surviving Raine (Surviving Raine, #1)","14,543",4.03,Shay Savage,"409,",8
953,"Duncan's Bride (Patterson-Cannon Family, #1)","8,417",3.96,Linda Howard,"406,",7
954,"Last Chance (Last Chance Rescue, #6)","2,445",4.26,Christy Reece,"406,",5
955,"Bright Side (Bright Side, #1)","47,744",4.32,Kim Holden,"406,",5
956,"Romancing the Duke (Castles Ever After, #1)","42,477",3.89,Tessa Dare,"405,",5
957,"Kissing Steel (Cyborg Seduction, #2)","7,588",4.02,Laurann Dohner,"404,",6
958,Crazy For You,"17,425",3.79,Jennifer Crusie,"404,",6
959,"Bound by Honor (Born in Blood Mafia Chronicles, #1)","85,004",3.85,Cora Reilly,"404,",6
960,"Dream Lake (Friday Harbor, #3)","13,090",3.94,Lisa Kleypas,"404,",7
961,"Finding Cinderella (Hopeless, #2.5)","105,669",4.10,Colleen Hoover,"404,",7
962,A Different Blue,"33,023",4.22,Amy Harmon,"403,",5
963,Of Love and Other Demons,"69,484",3.97,Gabriel García Márquez,"402,",5
964,"The Renegade Hunter (Argeneau, #12; Rogue Hunter, #3)","15,061",4.33,Lynsay Sands,"402,",8
965,Cyrano de Bergerac,"80,838",4.06,Edmond Rostand,"402,",5
966,"Breaking Dawn (The Twilight Saga, #4)","1,585,961",3.73,Stephenie Meyer,"402,",6
967,"A Tale of the Other Kind (Therian, #1)",79,3.62,Leandi Cameron,"400,",4
968,"I Am Her... (I Am Her..., #1)",843,3.94,Sarah Ann Walker,"400,",4
969,A Poker Game of Love,25,4.12,Alice  Walsh,"400,",4
970,Touched by a Phoenix,49,4.10,Sophia Byron,"400,",4
971,Finding Clara,avg,it,Jannie Lund,"400,",4
972,"Forbidden by Faith (Forbidden Love, #1)",106,4.23,Negeen Papehn,"400,",4
973,The Enlightenment of Alexander,182,3.31,B.Q. Hanson,"400,",4
974,Winds Of Fate (Fated Hearts #1),141,4.55,Lucia Omonobi,"400,",4
975,Blind Sided,417,3.77,Cheryl Leigh,"399,",5
976,Lions in the Garden (The Uprising #1),123,3.61,Chelsea Luna,"399,",4
977,"Truly, Madly, Deeply","1,526",3.58,Faraaz Kazi,"399,",4
978,"Eye of the Storm (Gray Ghost, #2)",197,4.45,Amy McKinley,"398,",4
979,"Black Rose (In the Garden, #2)","40,005",4.07,Nora Roberts,"398,",5
980,"Slave (Finding Anna, #1)","8,366",3.87,Sherri Hayes,"397,",4
981,"Breaking Kate (Acceptance, #1)","1,377",3.91,D. Kelly,"397,",4
982,My Love Is Blind,33,4.15,Zahra Habib,"397,",4
983,Caged Lions Never Roar,28,4.61,Arthur Archambeau,"397,",4
984,Discovering The Covering,27,4.67,Shamicka C. Toney,"397,",4
985,"Demon Possession (Shadow Quest, #1)","4,624",3.93,Kiersten Fay,"396,",5
986,"Taking Chase (Chase Brothers, #2)","8,475",4.06,Lauren Dane,"396,",5
987,"Kiss of Crimson (Midnight Breed, #2)","41,746",4.14,Lara Adrian,"396,",8
988,Mine Forever: A Young Adult Romance,67,4.28,Skylar Nightingale,"394,",4
989,"Voyager (Outlander, #3)","291,120",4.39,Diana Gabaldon,"394,",5
990,"City of Ashes (The Mortal Instruments, #2)","882,410",4.13,Cassandra Clare,"393,",6
991,"Chocolat (Chocolat, #1)","121,825",3.96,Joanne Harris,"392,",6
992,"Immortal City (Immortal City, #1)",avg,really,Scott Speer,"391,",5
993,"Sweet Surrender (Sweet, #1)","26,155",3.96,Maya Banks,"391,",7
994,The Training of Kate (Journey into Submission 1),46,4.63,Khul Waters,"391,",4
995,Manhunting,"15,721",3.78,Jennifer Crusie,"390,",6
996,To Meet Her Needs,12,4.83,Khul Waters,"389,",4
997,"From Dead to Worse (Sookie Stackhouse, #8)","183,937",4.01,Charlaine Harris,"389,",4
998,"Grimnirs  (Runes, #3)","3,664",4.28,Ednah Walters,"388,",4
999,"The Next Best Thing (Gideon's Cove, #2)","11,368",3.88,Kristan Higgins,"387,",6
1000,Bound Anthology,43,4.28,J.M. Walker,"387,",4
1001,"Blood of Anteros (Vampire Agápe, #1)","1,640",3.66,Georgia Cates,"386,",6
1002,The Girl On The Half Shell (The Half Shell Series #1),750,4.01,Susan  Ward,"384,",4
1003,"Fever (Breathless, #2)","52,801",3.98,Maya Banks,"383,",7
1004,"Catching Fire (The Hunger Games, #2)","3,175,999",4.31,Suzanne Collins,"382,",5
1005,"The Savage King (Lords of the Var, #1)","4,064",3.98,Michelle M. Pillow,"381,",5
1006,"Behind Closed Doors (Daniels Brothers, #1)","1,228",3.86,Sherri Hayes,"381,",4
1007,"Deep (Stage Dive, #4)","39,191",4.03,Kylie Scott,"381,",6
1008,"City of Lost Souls (The Mortal Instruments, #5)","501,919",4.23,Cassandra Clare,"381,",5
1009,"Amber Beach (Donovan, #1)","6,318",3.98,Elizabeth Lowell,"380,",6
1010,River's End,"21,557",4.03,Nora Roberts,"380,",7
1011,Destroyed,"12,654",4.08,Pepper Winters,"378,",4
1012,"Blood Brothers (Sign of Seven, #1)","52,898",4.16,Nora Roberts,"378,",5
1013,"Jet (Marked Men, #2)","38,136",4.07,Jay Crownover,"377,",7
1014,The Sun Is Also a Star,avg,really,Nicola Yoon,"377,",5
1015,La Dame aux Camélias,"45,325",4.03,Alexandre Dumas fils,"376,",5
1016,"Wicked Ties (Wicked Lovers, #1)","29,257",3.93,Shayla Black,"376,",5
1017,Head Over Heels (Marine #1),"3,732",3.84,Susan Andersen,"375,",6
1018,"Love, Come to Me","5,632",3.60,Lisa Kleypas,"374,",5
1019,Shades of Twilight,"10,064",4.11,Linda Howard,"372,",7
1020,"Spoiler Alert (Spoiler Alert, #1)","37,401",3.69,Olivia Dade,"372,",4
1021,"When Dimple Met Rishi (Dimple and Rishi, #1)","52,549",3.69,Sandhya Menon,"372,",5
1022,"Warprize  (Chronicles of the Warlands, #1)","18,946",3.97,Elizabeth Vaughan,"371,",5
1023,Prisoner of My Desire,"18,010",4.06,Johanna Lindsey,"371,",6
1024,"My Favorite Mistake (My Favorite Mistake, #1)","56,058",3.98,Chelsea M. Cameron,"371,",7
1025,"Silence (Hush, Hush, #3)","272,577",4.08,Becca Fitzpatrick,"371,",5
1026,Pulled,"9,358",3.93,Amy Lichtenhan,"369,",5
1027,"Kaleidoscope Hearts (Hearts, #1)","24,388",4.03,Claire Contreras,"369,",5
1028,The Red and the Black,"69,379",3.87,Stendhal,"368,",5
1029,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)","975,505",4.63,Sarah J. Maas,"368,",4
1030,"Opal (Lux, #3)","145,373",4.26,Jennifer L. Armentrout,"367,",5
1031,Dying to Please,"13,448",3.94,Linda Howard,"366,",7
1032,"Laney (The Brookehaven Vampires, #1)","1,902",4.01,Joann I Martin Sowles,"366,",5
1033,"An Echo in the Bone (Outlander, #7)","142,125",4.44,Diana Gabaldon,"366,",5
1034,"These Is My Words: The Diary of Sarah Agnes Prine, 1881-1901, Arizona Territories (Sarah Agnes Prine, #1)","70,954",4.35,Nancy E. Turner,"365,",5
1035,Only By Your Touch,"3,206",4.16,Catherine Anderson,"365,",5
1036,Uprooted,"215,387",4.05,Naomi Novik,"365,",5
1037,"The Lover (The Lover, #1)","48,452",3.73,Marguerite Duras,"363,",4
1038,"The Lost Duke of Wyndham (Two Dukes of Wyndham, #1)","22,967",3.74,Julia Quinn,"363,",4
1039,"Devil in Spring (The Ravenels, #3)","35,491",4.09,Lisa Kleypas,"363,",5
1040,Sweet as Sin,"4,475",3.86,Inez Kelley,"362,",6
1041,"Carter Reed (Carter Reed, #1)",avg,really,Tijan,"362,",6
1042,"Somewhere on Maui (Accidental Matchmaker, #1)",303,4.14,Toby Neal,"362,",4
1043,"Carolina Blues (Dare Island, #4)",652,4.04,Virginia Kantra,"362,",4
1044,"Shadow of Night (All Souls, #2)","224,064",4.07,Deborah Harkness,"362,",5
1045,"The Sum of All Kisses (Smythe-Smith Quartet, #3)","25,788",3.97,Julia Quinn,"359,",5
1046,To Hate Adam Connor,"54,395",4.06,Ella Maise,"359,",5
1047,"What a Boy Wants (What a Boy Wants, #1)","10,643",3.52,Nyrae Dawn,"358,",4
1048,"Wild Man (Dream Man, #2)","42,879",4.18,Kristen Ashley,"358,",5
1049,"Bluegrass State of Mind (Bluegrass Series, #1)","14,013",4.02,Kathleen Brooks,"357,",4
1050,The Duke's Redemption,269,4.14,Carla Capshaw,"357,",4
1051,Before I Fall,"328,102",3.89,Lauren Oliver,"356,",5
1052,Northern Lights,"43,753",4.02,Nora Roberts,"355,",4
1053,"A Breath of Snow and Ashes (Outlander, #6)","166,805",4.43,Diana Gabaldon,"355,",4
1054,"Wild Card (Elite Ops, #1)","17,515",4.16,Lora Leigh,"353,",5
1055,"The Rogue Not Taken (Scandal & Scoundrel, #1)","22,454",3.95,Sarah MacLean,"353,",6
1056,Great Expectations,"756,360",3.79,Charles Dickens,"352,",4
1057,"Wild Rain (Leopard People, #1)","13,289",4.17,Christine Feehan,"351,",5
1058,"Effortless (Thoughtless, #2)","115,048",4.35,S.C. Stephens,"351,",5
1059,"After You (Me Before You, #2)","352,492",3.74,Jojo Moyes,"351,",5
1060,"Splendid (The Splendid Trilogy, #1)","23,057",3.88,Julia Quinn,"349,",7
1061,"Dreams of a Dark Warrior (Immortals After Dark, #10)","38,658",4.35,Kresley Cole,"348,",6
1062,"Never Enough (Brown Family, #4)","7,957",4.16,Lauren Dane,"347,",4
1063,"Dangerous Lover (Dangerous, #1)","3,737",3.73,Lisa Marie Rice,"346,",4
1064,"Hungry for You (Argeneau, #14)","14,175",4.26,Lynsay Sands,"346,",6
1065,"Forever My Girl (Beaumont Series, #1)","52,346",3.99,Heidi McLaughlin,"346,",4
1066,In the Midnight Rain,"1,440",4.10,Ruth Wind,"346,",4
1067,"Rock Chick Rescue (Rock Chick, #2)","36,738",4.30,Kristen Ashley,"346,",6
1068,"Touching Ice (Cyborg Seduction, #4)","7,040",4.11,Laurann Dohner,"345,",5
1069,"The Winner's Curse (The Winner's Trilogy, #1)","105,209",3.96,Marie Rutkoski,"345,",4
1070,"Simon vs. the Homo Sapiens Agenda (Simonverse, #1)","402,629",4.19,Becky Albertalli,"344,",4
1071,"All Together Dead (Sookie Stackhouse, #7)","196,396",4.05,Charlaine Harris,"343,",5
1072,"Skye O'Malley (O'Malley Saga, #1)","5,206",4.27,Bertrice Small,"342,",4
1073,"Without Regret (Pyte/Sentinel, #2)","12,124",4.01,R.L. Mathewson,"342,",5
1074,"Wicked Nights (Angels of the Dark, #1)","25,383",4.08,Gena Showalter,"341,",6
1075,"Garden Spells (Waverley Family, #1)","95,527",4.06,Sarah Addison Allen,"340,",5
1076,The Language of Flowers,"212,539",4.09,Vanessa Diffenbaugh,"339,",4
1077,"Dead to the World (Sookie Stackhouse, #4)","253,359",4.12,Charlaine Harris,"339,",5
1078,"Saved (Wanted, #2)","13,443",4.27,Kelly Elliott,"337,",5
1079,"I Only Have Eyes for You (San Francisco Sullivans, #4; The Sullivans, #4)","15,775",4.20,Bella Andre,"337,",4
1080,"Afterburn (Jax & Gia, #1)","25,642",3.93,Sylvia Day,"337,",5
1081,"The Elite (The Selection, #2)","681,001",3.96,Kiera Cass,"337,",5
1082,"The Black Hawk (Spymasters, #4)","3,572",4.16,Joanna Bourne,"336,",4
1083,"Naked Edge (I-Team, #4)","8,117",4.18,Pamela Clare,"335,",5
1084,"Kill and Tell (CIA Spies, #1)","13,099",3.98,Linda Howard,"334,",5
1085,"Seducing Cinderella (Fighting for Love, #1)","33,995",3.92,Gina L. Maxwell,"334,",6
1086,"Pucked (Pucked, #1)","62,610",3.91,Helena Hunting,"334,",4
1087,"The King (Black Dagger Brotherhood, #12)","52,628",4.37,J.R. Ward,"334,",5
1088,Until There Was You,"13,214",3.98,Kristan Higgins,"333,",6
1089,Sunny Chandler's Return: A Novel,"4,689",3.62,Sandra       Brown,"332,",4
1090,Arsen: A Broken Love Story,"16,513",4.14,Mia Asher,"332,",4
1091,"The Countess Conspiracy (Brothers Sinister, #3)","11,798",3.92,Courtney Milan,"332,",5
1092,"Stealing Coal (Cyborg Seduction, #5)","6,937",4.18,Laurann Dohner,"331,",5
1093,"The Will (Magdalene, #1)","29,254",4.29,Kristen Ashley,"331,",6
1094,"Sloppy Firsts (Jessica Darling, #1)","35,475",3.95,Megan McCafferty,"330,",4
1095,"Her Forbidden Hero (The Hero, #1)","11,656",3.85,Laura Kaye,"330,",5
1096,"Cold-Hearted Rake (The Ravenels, #1)","37,971",3.82,Lisa Kleypas,"330,",4
1097,Lair of the Lion,"8,569",4.08,Christine Feehan,"329,",5
